file	t	f0	intensity
 1.wav	0.692	147.18681115827894	40.47592721979176
 1.wav	0.697	147.80635611314912	42.66439890252954
 1.wav	0.702	148.5644556923674	45.087815565422254
 1.wav	0.707	149.32467191036903	47.461581110404666
 1.wav	0.712	149.33357663083262	49.645423186081
 1.wav	0.717	148.17698085622985	51.54653597304723
 1.wav	0.722	146.23232955266846	53.165318299763854
 1.wav	0.727	144.43232281819303	54.494701685036986
 1.wav	0.732	143.7204948391033	55.56788228198034
 1.wav	0.737	144.40145819140469	56.40261820720083
 1.wav	0.742	145.98039338048432	57.03802766421548
 1.wav	0.747	147.57808998468946	57.50060336891906
 1.wav	0.752	148.57500876476462	57.82560813738641
 1.wav	0.757	149.01634533006373	58.037458622628584
 1.wav	0.762	149.174026165892	58.1605831861571
 1.wav	0.767	149.20947383178924	58.21141068370588
 1.wav	0.772	149.15797287884507	58.20578010808589
 1.wav	0.777	149.02246032616404	58.15848597008001
 1.wav	0.782	148.79360303263914	58.08718048706048
 1.wav	0.787	148.46295597468546	58.00951727767229
 1.wav	0.792	148.02032202375594	57.9415695834155
 1.wav	0.797	147.41479435142114	57.89022590350064
 1.wav	0.802	146.6448959309214	57.85168832681726
 1.wav	0.807	145.71554954615607	57.81088526894916
 1.wav	0.812	144.65764621067055	57.74515959886236
 1.wav	0.817	143.47862813327032	57.63120793429485
 1.wav	0.822	142.19003132616936	57.44709191247345
 1.wav	0.827	140.79011810033003	57.17939307894455
 1.wav	0.832	139.31294081314107	56.81793203432626
 1.wav	0.837	137.7736666900622	56.36580438808511
 1.wav	0.842	136.17649359299728	55.825523673525915
 1.wav	0.847	134.46549054794787	55.212302298669876
 1.wav	0.852	132.58754168280586	54.53050827111934
 1.wav	0.857	130.54210783647096	53.791202616117076
 1.wav	0.862	128.44614059505824	52.98559966229645
 1.wav	0.867	126.4080414395947	52.11394504363667
 1.wav	0.872	124.5393354832591	51.162766645925814
 1.wav	0.877	122.819271124679	50.1465214962434
 1.wav	0.882	121.25255219040432	49.07999829427365
 1.wav	0.887	119.79259531408735	48.013854830536516
 1.wav	0.892	118.43497905473008	46.98413223560971
 1.wav	0.897	117.09293070007497	46.02600719469858
 1.wav	0.902	115.7046122045857	45.11633018282141
 1.wav	0.907	114.15073116505356	44.214215709513184
 1.wav	0.912	112.40239332257373	43.24888207975037
 1.wav	0.917	110.42737825952722	42.180680238806815
 1.wav	0.922	108.21027775048714	40.979150266082456
 1.wav	0.927	105.68330754077355	39.66728156088487
 1.wav	0.932	102.80608207645835	38.28650090458707
 1.wav	0.937	99.48074129163783	36.914401629179785
 1.wav	0.942	95.68281713337329	35.61938696106651
 1.wav	0.947	91.28988437151102	34.46824426772486
 1.wav	0.952	86.55474448531619	33.47269237750727
 1.wav	0.957	82.00569352823489	32.66402272909828
 1.wav	0.962	78.66979368932644	32.037451906924666
 1.wav	0.967	76.17913053275431	31.633152891023197
 1.wav	0.972	75.34474726526423	31.429401328811394
 1.wav	0.977	75.25029182475691	31.356230252476216
 1.wav	0.982	75.1014374115229	31.3204023581931
 1.wav	0.987	74.8188617228968	31.245569373051396
 1.wav	0.992	74.35556256448584	31.086584074429986
 1.wav	0.997	73.6412000848028	30.839305548280606
 1.wav	1.002	72.84496373974982	30.508243311759166
 1.wav	1.007	72.31572492126287	30.119103010105206
 1.wav	1.012	72.93203082102703	29.677135006110053
 1.wav	1.017	74.88993508370697	29.191618823672655
 1.wav	1.022	77.33465920601286	28.65344416131724
 1.wav	1.027	79.3762896378705	28.058195062305057
 1.wav	1.032	81.33406094418598	27.391997180807167
 1.wav	1.037	--undefined--	26.63798905151514
 1.wav	1.042	--undefined--	25.791366633169726
 1.wav	1.047	--undefined--	24.834955341332975
 1.wav	1.052	--undefined--	23.777447332870885
 1.wav	1.057	--undefined--	22.620567159853348
 1.wav	1.062	--undefined--	21.397239568667747
 1.wav	1.067	--undefined--	20.160107201182992
 1.wav	1.072	--undefined--	18.961622798272572
 1.wav	1.077	--undefined--	17.885218442510183
 1.wav	1.082	--undefined--	16.985787822573748
 1.wav	1.087	--undefined--	16.307365688475972
 1.wav	1.092	--undefined--	15.835403658889156
 1.wav	1.097	--undefined--	15.521296396135147
 1.wav	1.102	--undefined--	15.283199809549474
 1.wav	1.107	--undefined--	15.044105884221617
 1.wav	1.112	--undefined--	14.7427268063979
 1.wav	1.117	--undefined--	14.35465852417287
 1.wav	1.122	--undefined--	13.881837293388005
 1.wav	1.127	--undefined--	13.36466037361742
 1.wav	1.132	--undefined--	12.848587661996298
 1.wav	1.137	--undefined--	12.382437506656476
 1.wav	1.142	--undefined--	11.980537644608567
 1.wav	1.147	--undefined--	11.63902580868874
 1.wav	1.152	--undefined--	11.336021584137372
 1.wav	1.157	--undefined--	11.062304869989594
 1.wav	1.162	--undefined--	10.815615093870981
 1.wav	1.167	--undefined--	10.60460882895795
 1.wav	1.172	--undefined--	10.428902629814997
 1.wav	1.177	--undefined--	10.2833663201497
 1.wav	1.182	--undefined--	10.158309801734198
 1.wav	1.187	--undefined--	10.051131302206501
