file	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity
 1.wav	0.102	--undefined--	900.392	2005.979	2965.857	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.36	3.0070824989729728	-2.2693998511904687	-4.189923563625227	-4.088083961190943	0.31424398576691714
 1.wav	0.107	--undefined--	912.843	2045.692	2971.654	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.716	2.6118857872229473	-2.158627221089929	-3.484472682043643	-4.207181307681799	2.402131754027449
 1.wav	0.112	--undefined--	898.34	1813.814	2756.932	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.163	-1.3847711754967524	-2.6036735583635453	-3.9595316022965257	-5.410783366482894	4.540516501858606
 1.wav	0.117	--undefined--	687.359	1734.925	2670.389	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.441	0.34152098463648645	-2.9097152675037834	-5.022154396742992	-5.913305652655057	6.4635813793572
 1.wav	0.122	--undefined--	564.684	1823.529	2561.184	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	16.132	-1.4849580033862406	-4.566005542572752	-5.397369623747962	-5.543946239458171	8.082171553662686
 1.wav	0.127	--undefined--	600.007	1816.248	2541.932	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	15.823	-4.241133088262507	8.528537621621199	7.593956961982831	6.143491068816123	9.353784460191687
 1.wav	0.132	--undefined--	1615.359	2326.434	3435.105	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	16.372	-4.489325201486186	-5.032751476995553	-5.061169219407011	0.630257428773346	10.303085096216805
 1.wav	0.137	--undefined--	1359.294	1514.67	2727.008	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.353	-3.4320282974534644	-5.984986263671558	-1.016016054866875	-1.8897235031949782	10.95636992600082
 1.wav	0.142	--undefined--	1025.151	1667.018	2766.18	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	13.546	-1.809185457844986	-4.585415467360637	-2.7436047286828553	-4.085691937087165	11.367633475781233
 1.wav	0.147	--undefined--	950.877	1704.792	2730.824	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	15.01	-1.8676924736027323	-4.299953068043299	-2.4330614278924303	-4.485593903065778	11.588958097432343
